dealer,total_reviews,positive,negative,neutral,positive_pct,negative_pct,overall_score,avg_vader,status
Ed Martin Toyota,50,47,1,2,94.0,2.0,93.0,0.71,Recommended
Tom Wood Toyota,49,46,1,2,93.9,2.0,92.9,0.589,Recommended
Team Toyota,50,45,1,4,90.0,2.0,89.0,0.703,Recommended
Kokomo Auto World,50,44,3,3,88.0,6.0,85.0,0.699,Recommended
Jordan Toyota,49,41,2,6,83.7,4.1,81.6,0.562,Recommended
Kenny Kent Toyota,48,40,2,6,83.3,4.2,81.3,0.556,Recommended
Evans Toyota,50,41,2,7,82.0,4.0,80.0,0.594,Recommended
Toyota of Muncie,50,41,2,7,82.0,4.0,80.0,0.607,Recommended
Carver Toyota of Columbus,50,41,2,7,82.0,4.0,80.0,0.551,Recommended
Cronin Toyota Nissan of Richmond,50,40,10,0,80.0,20.0,70.0,0.474,Recommended
Hubler Toyota,50,39,4,7,78.0,8.0,74.0,0.476,Recommended
Toyota of Warsaw,45,35,5,5,77.8,11.1,72.2,0.4,Recommended
Uebelhor & Sons Toyota,50,38,1,11,76.0,2.0,75.0,0.495,Recommended
Fort Wayne Toyota,50,36,7,7,72.0,14.0,65.0,0.408,Recommended
Royal South Toyota,50,36,13,1,72.0,26.0,59.0,0.468,Recommended
Bob Rohrman Toyota,50,36,5,9,72.0,10.0,67.0,0.497,Recommended
Graff Toyota,50,30,2,18,60.0,4.0,58.0,0.366,Recommended
Gates Toyota,45,26,5,14,57.8,11.1,52.2,0.317,Not Recommended
Andy Mohr Toyota,49,28,17,4,57.1,34.7,39.8,0.226,Not Recommended
Jeff Wyler Toyota of Clarksville,50,18,31,1,36.0,62.0,5.0,-0.183,Not Recommended
